model name,link,abstract,country,year,parameters,hardware,hardware_compute,hardware_number,hardware_power,training_compute,training_time,power_draw,co2eq
Timbre Transfer,https://archives.ismir.net/ismir2023/paper/000029.pdf,,Italy,2023,,,,,,,,,
Polyffusion,https://archives.ismir.net/ismir2023/paper/000026.pdf,,"UAE, Singapore, China",2023,,,,,,,,,
Mono-to-Stereo,https://archives.ismir.net/ismir2023/paper/000035.pdf,,Spain,2023,34500000,,,,,,,,
VampNet,https://archives.ismir.net/ismir2023/paper/000042.pdf,,USA,2023,,GPU memory budget of 72GB,,,,,,,
Sampling Transformer,https://archives.ismir.net/ismir2023/paper/000096.pdf,,"Austria, France",2023,,,,,,,,,
Composer Assistant,https://archives.ismir.net/ismir2023/paper/000038.pdf,,USA,2023,,,,,,,,,
Scoreperformer,https://archives.ismir.net/ismir2023/paper/000069.pdf,,"Russia, Germany",2023,,,,,,,,,
LPC Synth,https://archives.ismir.net/ismir2023/paper/000079.pdf,,UK,2023,700000,Ubuntu 20.04 LTS machine with an i5-4790k processor and an NVIDIA GeForce RTX 3070 GPU,,,,,,,
Text-to-Lyrics,https://archives.ismir.net/ismir2023/paper/000047.pdf,,Japan,2023,,,,,,,,,
Music Translation,https://archives.ismir.net/ismir2022/paper/000003.pdf,,Israel,2022,,,,,,,,,
DDSP Vocoder,https://archives.ismir.net/ismir2022/paper/000008.pdf,,"Taiwan, USA",2022,500000,NVIDIA GeForce RTX 3090 GPU,,1,350,,63,,
Phrase Length,https://archives.ismir.net/ismir2022/paper/000014.pdf,,Japan,2022,,,,,,,,,
Loop GAN,https://archives.ismir.net/ismir2022/paper/000015.pdf,,Taiwan,2022,,NVIDIA V100 GPU,,1,250,,48,,
Lyric Rhythm,https://archives.ismir.net/ismir2022/paper/000016.pdf,,China,2022,,NVIDIA Tesla V100 SXM2 32GB GPU,,1,250,,11.5,,
Sketching Expression,https://archives.ismir.net/ismir2022/paper/000020.pdf,,South Korea,2022,,,,,,,,,
Jukedrummer,https://archives.ismir.net/ismir2022/paper/000022.pdf,,"China, Taiwan",2022,25000000,NVIDIA GeForce GTX 1080 Ti GPU,,1,250,,48,,
Accomontage2,https://archives.ismir.net/ismir2022/paper/000029.pdf,,"China, Singapore, UAE",2022,,,,,,,,,
DrumFill,https://archives.ismir.net/ismir2022/paper/000031.pdf,,"India, USA",2022,,,,,,,,,
LoopGen,https://archives.ismir.net/ismir2022/paper/000048.pdf,,USA,2022,,,,,,,,,
